Port,lat,lon
"Melbourne, Victoria Australia",-37.8136276,144.9630576
"Burnie, Tasmania Australia",-41.0539671,145.9046357
"Sydney, NSW Australia",-33.8688197,151.2092955
"Cairns, Queensland Australia",-16.9203476,145.7709529
"Alotau, Papua New Guinea",-10.3157027,150.4587795
"Rabaul, New Britain Island Papua New Guinea",-4.1999648,152.1644612
"Guam Island USA, Apra Harbor, Marianas",13.444304,144.793731
"Naha, Japan",26.2125758,127.6790208
"Nagasaki City, Japan Nagasaki",32.7503334,129.8778888
"Aburatsu-Nichinan, Japan Miyazaki",31.5830728,131.4055785
"Tokyo, Japan",35.6764225,139.650027
