Port,lat,lon
Singapore,1.352083,103.819836
"Saigon, Ho Chi Minh City, Vietnam",10.8230989,106.6296638
"Kota Kinabalu, Borneo Malaysia Sabah",5.9843644,116.077344
"Manila, Luzon Island Philippines",14.5995124,120.9842195
"Guam Island USA, Apra Harbor, Marianas",13.444304,144.793731
"Naha, Japan",26.2125758,127.6790208
"Honolulu, Oahu Island Hawaii",21.3098845,-157.8581401
"Kahului, Maui Island Hawaii",20.8893016,-156.4728725
"Los Angeles, Long Beach-San Pedro, California",33.7360619,-118.2922461
